Title,Description
Flaxseed Sourdough Bread,"whole-grain Yecora Rojo wheat flour, organic bread flour, water, sourdough culture (wheat flour, water), organic brown flaxseed, sea salt. Trace amounts of olive oil and rice flour for prep."
Herbed Cheddar Sourdough Bread,"whole-grain blend of local heirloom wheat flours, organic bread flour, water, sourdough culture (wheat flour, water), extra sharp cheddar, dried herb blend (basil, oregano, red pepper flakes, garlic powder, onion powder), sea salt, (trace amount of rice flour and olive oil used in finishing). Trace amounts of olive oil and rice flour for prep."
Honey Oat Sourdough Bread,"whole-grain Turkey Red wheat flour, organic bread flour, water, whole-grain oat flour, sourdough culture (organic wheat flour, water), organic honey, organic thick-rolled oats, sea salt. Trace amounts of olive oil and rice flour for prep."
Kamut Sesame Sourdough Bread,"whole-grain (organic) Kamut wheat flour, bread flour, water, sourdough culture (wheat flour, water), olive oil, sea salt, sesame seeds. Trace amounts of olive oil and rice flour for prep."
Kamut Sourdough Bread,"whole-grain (organic) Kamut wheat flour, bread flour, water, sourdough culture (wheat flour, water), sea salt. Trace amounts of olive oil and rice flour for prep."
Kernza® Sourdough Bread,"organic bread flour, whole-grain Kernza® wheat flour, water, sourdough culture (organic wheat flour, water), sea salt. Trace amounts of olive oil and rice flour for prep."
Lemon Spelt Cookie,"100% organic whole-grain Spelt flour, organic cane sugar, unsalted butter, sourdough starter, organic lemon juice, organic eggs, organic lemon zest, organic vanilla extract, baking powder, baking soda, salt, organic ground turmeric"
Multigrain Sourdough Bread,"whole-grain Rouge de Bordeaux wheat flour, organic bread flour, water, sourdough culture (organic wheat flour, water), organic whole oat groats, organic rye flakes, organic wheat flakes, sunflower seeds, sesame seeds, flaxseed, poppy seeds, organic hulled millet, sea salt. Trace amounts of olive oil and rice flour for prep."
Oatmeal Cookie,"thick rolled oats, organic butter, organic brown sugar, White Sonora 100% whole-wheat flour, organic egg, organic sugar, baking soda, salt, organic cinnamon"
Oatmeal Raisin Cookie,"thick rolled oats, organic butter, organic raisins, brown sugar, White Sonora 100% whole-wheat flour, organic egg, organic sugar, baking soda, salt, organic cinnamon"
Parmesan Peppercorn Sourdough Bread,"whole-grain (organic) Einkorn wheat flour, organic bread flour, water, sourdough culture (wheat flour, water), parmesan cheese, sea salt, freshly cracked black peppercorns. Trace amounts of olive oil and rice flour for prep."
Rosemary Olive Oil Sourdough Bread,"whole-grain Kamut flour, organic bread flour, sourdough culture (organic wheat flour, water), organic olive oil, sea salt, organic fresh rosemary, water. Trace amounts of olive oil and rice flour for prep."
Sage Einkorn Sourdough Bread,"whole-grain Einkorn flour, organic bread flour, sourdough culture (organic wheat flour, water), water, sea salt, organic sage. Trace amounts of olive oil and rice flour for prep."
Spelt English Muffins,"whole-grain Spelt flour, organic all-purpose flour, sourdough culture (organic wheat flour, water), buttermilk, water, sea salt, yeast, butter (for searing)"
Spelt Sourdough Bread,"whole-grain Spelt wheat flour, bread flour, sourdough culture (wheat flour, water), sea salt. Trace amounts of olive oil and rice flour for prep."
Spiced Molasses Cookie,"butter, dark brown sugar, organic eggs, organic olive oil, molasses, sea salt, baking soda, cream of tartar, organic White Sonora 100% whole-wheat flour, cloves, ginger, cinnamon, cane sugar"
Sunflower Seed Sourdough Bread,"whole-grain Turkey Red wheat flour, organic bread flour, water, sourdough culture (organic wheat flour, water), organic sunflower seeds, sea salt. Trace amounts of olive oil and rice flour for prep."
Thaw-and-Bake Hot Rolls,"White Sonora flour, organic bread flour, organic milk, organic egg, butter, organic sugar, nonfat dry milk, yeast, salt"
Turkey Red Sourdough Bread,"whole-grain Turkey Red wheat flour, organic bread flour, sourdough culture (organic wheat flour, water), sea salt, water. Trace amounts of olive oil and rice flour for prep."
White Chocolate Cherry Pistachio Cookie,"Turkey Red/Rustic Red/White Sonora 100% whole wheat flour blend, butter, organic brown sugar, organic cane sugar, white chocolate chips, pistachios, dried cherries, organic eggs, vanilla, sea salt, baking soda"
Yecora Rojo Sourdough Bread,"whole-grain Yecora Rojo wheat flour, organic bread flour, water, sourdough culture (wheat flour, water), sea salt. Trace amounts of olive oil and rice flour for prep."
Emmer Sourdough Bread,"whole-grain Emmer flour, organic bread flour, sourdough culture (organic wheat flour, water), sea salt, water"
